Original|Corrected|Expected|Source
1.0037|1.0037|???|4039-95.NC
3.3535|3.3535|???|4039-96.NC
1.0037S235JRG2-5.0|1.0037 S235JRG|1.0037 S235JRG2|4054-38.NC
1.0037400HB-8.0|1.0037 400hb|1.0037 HB|Material table
1.0037S235JRG2-4.0|1.0037 S235JRG|1.0037 S235JRG2|Material table
1.0037S235JRG2|1.0037 S235JRG|1.0037 S235JRG2|Material table
1.0037S235JRG2-6.0|1.0037 S235JRG|1.0037 S235JRG2|Material table
1.0037POZINK-1.5|1.0037 pozink|1.0337 pozink|Material table
1.0037POZINK-2.0|1.0037 pozink|1.0337 pozink|Material table
1.0037POZINK-3.0|1.0037 pozink|1.0337 pozink|Material table
1.0037POZINK-2.5|1.0037 pozink|1.0337 pozink|Material table
1.0037S355JR-20.0|1.0037 s355jr|1.0037 S235JRG2|Material table
1.0037TRANSPORTKONZOLE|1.0037 transportkonzole|1.0037 transportkonzole |Material table
1.4016MAGNET2|1.4016 MAGNET|1.4301 magnet|Material table
1.4016MAGNET3|1.4016 MAGNET|1.4301 magnet|Material table
3.3535SPECIAL5.0|3.3535|3.3535 special|Material table
3.3535ALUNOX|3.3535 alunox|3.3535ALUNOX|Material table
3.3535ALUNOX-1.0|3.3535 alunox|3.3535ALUNOX|Material table
